time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-07T19:37:56.470Z,36.2938,-97.5423,5.53,2.5,mb_lg,,39,0.203,0.26,us,us2000dw4y,2018-04-08T03:20:40.040Z,"22km W of Perry, Oklahoma",earthquake,0.9,2.7,0.078,43,reviewed,us,us
2018-04-07T16:21:22.010Z,35.6717,-97.4076,6.31,3.1,mb_lg,,38,0.035,0.16,us,us2000dw3h,2018-04-09T17:09:21.193Z,"6km ENE of Edmond, Oklahoma",earthquake,0.7,3.5,0.049,109,reviewed,us,us
2018-04-07T13:50:15.160Z,40.2838333,-124.991,11.16,3.28,ml,17,306,0.5347,0.27,nc,nc72996581,2018-04-13T07:54:02.411Z,"60km W of Petrolia, CA",earthquake,1.14,1.1,0.281,11,reviewed,nc,nc
2018-04-07T12:43:47.600Z,36.2931,-97.5127,6.156,2.5,ml,,25,,0.31,us,us2000dw18,2018-04-14T12:43:56.375Z,"20km W of Perry, Oklahoma",earthquake,0.6,3.6,,,reviewed,tul,tul
2018-04-07T12:23:23.800Z,36.2871,-97.5092,7.266,3.7,ml,,25,,0.16,us,us2000dw3j,2018-04-14T12:33:07.653Z,"19km W of Perry, Oklahoma",earthquake,1,4.7,,,reviewed,tul,tul
2018-04-07T12:16:03.300Z,36.2896,-97.5166,5.791,4.6,mww,,25,,0.21,us,us2000dw0r,2018-04-14T12:06:22.953Z,"20km W of Perry, Oklahoma",earthquake,0,0,0.068,21,reviewed,tul,us
2018-04-07T11:56:05.700Z,36.2168,-97.5682,6.272,2.7,ml,,23,,0.23,us,us2000dw0d,2018-04-14T11:55:23.040Z,"26km WSW of Perry, Oklahoma",earthquake,0.7,2.5,,,reviewed,tul,tul
2018-04-07T11:00:03.200Z,36.2167,-97.5702,6.339,2.6,ml,,23,,0.15,us,us2000dvzp,2018-04-14T11:42:20.011Z,"26km WSW of Perry, Oklahoma",earthquake,1.1,0.7,,,reviewed,tul,tul
2018-04-07T10:13:42.870Z,36.2192,-97.5772,3.9,2.5,mb_lg,,59,0.129,0.11,us,us2000dvzc,2018-04-07T18:16:22.581Z,"27km WSW of Perry, Oklahoma",earthquake,1,3,0.193,7,reviewed,us,us
2018-04-07T09:48:03.430Z,36.2129,-97.575,4.98,3,mb_lg,,47,0.126,0.12,us,us2000dvz7,2018-04-08T02:55:54.700Z,"27km WSW of Perry, Oklahoma",earthquake,1.2,2.4,0.05,103,reviewed,us,us
2018-04-07T09:40:44.050Z,44.7583333,-111.1176667,10.18,2.68,ml,21,56,0.03866,0.1,uu,uu60276677,2018-04-08T22:57:30.050Z,"10km N of West Yellowstone, Montana",earthquake,0.29,0.53,0.176,4,reviewed,uu,uu
2018-04-07T07:37:15.640Z,38.8265,-122.7676667,0.76,3.49,mw,85,36,0.004336,0.07,nc,nc72996311,2018-04-10T08:58:32.385Z,"4km W of Cobb, CA",earthquake,0.07,0.11,,3,reviewed,nc,nc
2018-04-07T07:22:58.450Z,42.5889,-111.4449,5.82,3.4,ml,,57,0.135,0.4,us,us2000dvxy,2018-04-09T14:39:18.020Z,"14km ESE of Soda Springs, Idaho",earthquake,1.6,5,0.041,78,reviewed,us,us
2018-04-07T07:01:52.750Z,39.8232,-107.3768,2.68,2.7,ml,,45,0.716,1.09,us,us2000dvxu,2018-04-10T00:01:51.556Z,"30km N of Glenwood Springs, Colorado",earthquake,1.8,5.4,0.05,52,reviewed,us,us
2018-04-07T04:46:28.900Z,36.7412,-98.3703,8.948,2.5,ml,,91,,0.3,us,us2000dvwc,2018-04-09T22:02:22.040Z,"1km SW of Cherokee, Oklahoma",earthquake,1,8.2,,,reviewed,tul,tul
2018-04-06T17:59:52.410Z,41.1743333,-122.1613333,3.29,2.8,mh,3,336,0.1724,2.42,nc,nc72998311,2018-04-17T16:37:02.615Z,"9km SSW of McCloud, CA",earthquake,54.36,98.94,,0,reviewed,nc,nc
2018-04-06T17:51:23.270Z,36.0603333,-120.2041667,9.98,2.57,md,66,65,0.0766,0.08,nc,nc72996141,2018-04-17T03:37:03.171Z,"9km NW of Avenal, CA",earthquake,0.24,0.38,0.14,67,reviewed,nc,nc
2018-04-06T16:35:18.630Z,36.2954,-97.5219,6.53,2.5,mb_lg,,27,0.214,0.2,us,us2000dvn8,2018-04-07T12:39:21.479Z,"21km W of Perry, Oklahoma",earthquake,1.3,2.9,0.095,29,reviewed,us,us
